------------------------------------
[Fe  -  1]
  Fe  -1  2.840  4
  Fe  -2  2.429  4
  Fe  -3  2.823  1
------------------------------------
[Fe  -  2]
  Fe  -1  2.429  4
  Fe  -2  2.840  4
  Fe  -3  2.480  4
  Fe  -4  2.912  1
------------------------------------
[Fe  -  3]
  Fe  -1  2.823  1
  Fe  -2  2.480  4
  Fe  -3  2.840  4
  Fe  -4  2.480  4
  Fe  -5  2.823  1
------------------------------------
[Fe  -  4]
  Fe  -2  2.912  1
  Fe  -3  2.480  4
  Fe  -4  2.840  4
  Fe  -5  2.429  4
------------------------------------
[Fe  -  5]
  Fe  -3  2.823  1
  Fe  -4  2.429  4
  Fe  -5  2.840  4
